Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG
Aaron Gordon,DEN,F,19.686201242236024,4.365428571428571,3.375428571428571,19.885051759834365,4.409523809523809,3.409523809523809,0.0,0.0,0.0,0.688,0.6441176470588236,0.1268253968253968,30.43809523809524
Pascal Siakam,IND,F-C,18.51899329192547,6.119142857142859,3.375428571428572,18.706053830227745,6.180952380952382,3.40952380952381,0.0,0.0,0.0,0.563,0.547085201793722,0.133531746031746,32.04761904761905
Evan Mobley,CLE,F-C,19.476313043478264,9.23057142857143,3.6017142857142863,19.67304347826088,9.323809523809524,3.63809523809524,0.0,0.0,0.0,0.606,0.59,0.1307936507936508,31.3904761904762
Immanuel Quickley,TOR,G,17.152686708074537,3.846857142857143,5.949428571428572,17.32594616977226,3.885714285714285,6.0095238095238095,0.0,0.0,0.0,0.563,0.5116279069767442,0.1169444444444444,28.06666666666667
Jimmy Butler,GSW,F-G,19.56061267080745,5.572285714285714,5.826857142857143,19.758194616977224,5.628571428571428,5.885714285714285,0.0,0.0,0.0,0.641,0.525,0.1348412698412698,32.36190476190476
Jordan Poole,WAS,G,20.55412173913043,2.5268571428571427,3.648857142857143,20.76173913043478,2.552380952380952,3.685714285714286,0.0,0.0,0.0,0.635,0.5963541666666666,0.1071428571428571,25.714285714285715
Cameron Johnson,BRK,F,18.478360248447206,4.506857142857143,4.120285714285714,18.66501035196688,4.552380952380952,4.161904761904762,0.0,0.0,0.0,0.59,0.5303030303030303,0.1271825396825397,30.52380952380953
Trey Murphy III,NOP,F,18.47462161490684,5.157428571428572,4.01657142857143,18.661233954451347,5.2095238095238106,4.057142857142858,0.0,0.0,0.0,0.536,0.4889380530973451,0.145515873015873,34.923809523809524
Devin Vassell,SAS,G-F,17.56055850931677,4.440857142857143,2.658857142857143,17.737937888198758,4.485714285714286,2.685714285714285,0.0,0.0,0.0,0.603,0.5845410628019324,0.133015873015873,31.923809523809528
Keyonte George,UTA,G,16.591268571428575,3.9882857142857135,5.016,16.758857142857146,4.028571428571428,5.066666666666666,0.0,0.0,0.0,0.552,0.4776119402985074,0.128015873015873,30.723809523809525
Jalen Johnson,ATL,F,17.340962981366463,9.994285714285716,4.733142857142858,17.51612422360249,10.095238095238097,4.780952380952382,0.0,0.0,0.0,0.544,0.5070422535211268,0.1467460317460317,35.21904761904762
Nikola Vucevic,CHI,C,17.402798012422362,9.438000000000002,3.9882857142857153,17.57858385093168,9.533333333333337,4.028571428571429,0.0,0.0,0.0,0.611,0.5975,0.1236904761904762,29.68571428571429
CJ McCollum,NOP,G,16.39931925465839,3.894,4.506857142857143,16.564968944099384,3.9333333333333336,4.552380952380952,0.0,0.0,0.0,0.51,0.49375,0.131031746031746,31.447619047619053
Jalen Suggs,ORL,G,14.633405217391305,3.771428571428572,3.498,14.781217391304349,3.80952380952381,3.533333333333333,0.0,0.0,0.0,0.512,0.4695652173913043,0.118531746031746,28.447619047619053
Kelly Oubre Jr.,PHI,F,16.92495801242236,6.053142857142858,1.8197142857142856,17.09591718426501,6.114285714285715,1.838095238095238,0.0,0.0,0.0,0.569,0.5369458128078818,0.1525396825396825,36.60952380952381
Michael Porter Jr.,DEN,F,18.21186782608696,7.599428571428572,2.206285714285714,18.395826086956525,7.676190476190476,2.228571428571428,0.0,0.0,0.0,0.601,0.5654450261780105,0.1437301587301587,34.49523809523809
Lauri Markkanen,UTA,F-C,16.32877714285714,5.525142857142856,0.9145714285714286,16.493714285714283,5.58095238095238,0.9238095238095236,0.0,0.0,0.0,0.528,0.5022222222222222,0.1287301587301587,30.89523809523809
Zaccharie Risacher,ATL,F,16.81125763975156,3.592285714285715,1.2728571428571431,16.981068322981372,3.628571428571429,1.2857142857142858,0.0,0.0,0.0,0.624,0.6096256684491979,0.1098809523809523,26.37142857142857
Naji Marshall,DAL,F,16.707920496894413,5.826857142857143,3.6677142857142857,16.87668737060042,5.885714285714285,3.704761904761905,0.0,0.0,0.0,0.59,0.5654450261780105,0.1369444444444444,32.86666666666667
Jaden Ivey,DET,G,17.886852670807457,3.9222857142857146,3.799714285714286,18.067527950310563,3.961904761904762,3.8380952380952382,0.0,0.0,0.0,0.603,0.5775401069518716,0.1207142857142857,28.97142857142857
Dillon Brooks,HOU,F-G,16.575215403726713,3.3282857142857143,2.055428571428572,16.742641821946172,3.361904761904762,2.0761904761904764,0.0,0.0,0.0,0.613,0.5979381443298969,0.1309523809523809,31.428571428571427
Jordan Clarkson,UTA,G,15.546123726708077,2.9794285714285715,3.696,15.703155279503106,3.009523809523809,3.733333333333333,0.0,0.0,0.0,0.543,0.5048780487804878,0.1109920634920634,26.63809523809524
Scottie Barnes,TOR,G-F,14.261706335403728,7.043142857142858,4.789714285714284,14.40576397515528,7.114285714285715,4.838095238095237,0.0,0.0,0.0,0.484,0.4417040358744394,0.1221825396825396,29.323809523809523
Norman Powell,LAC,G,18.16346236024845,2.5739999999999994,1.810285714285714,18.346931677018635,2.599999999999999,1.828571428571428,0.0,0.0,0.0,0.564,0.5309278350515464,0.1291269841269841,30.990476190476187
Onyeka Okongwu,ATL,F,17.694886956521742,10.541142857142855,2.564571428571429,17.873623188405798,10.647619047619049,2.5904761904761906,0.0,0.0,0.0,0.656,0.6128048780487805,0.1353968253968253,32.49523809523809
