Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Jimmy Butler,GSW,F-G,19.56061267080745,5.572285714285714,5.826857142857143,9.629156146583849,2.743084285714285,2.868402857142857,0.0,0.0,0.0,0.641,0.525,0.1348412698412698,6.917357142857142,,,,,,,,,,,,
Jordan Poole,WAS,G,20.55412173913043,2.5268571428571427,3.648857142857143,10.118233565217388,1.2439028571428572,1.7962328571428572,0.0,0.0,0.0,0.635,0.5963541666666666,0.1071428571428571,5.496428571428571,,,,,,,,,,,,
Cameron Johnson,BRK,F,18.478360248447206,4.506857142857143,4.120285714285714,9.096392795031058,2.218602857142857,2.028304285714286,0.0,0.0,0.0,0.59,0.5303030303030303,0.1271825396825397,6.524464285714286,,,,,,,,,,,,
Trey Murphy III,NOP,F,18.47462161490684,5.157428571428572,4.01657142857143,9.094552367701862,2.5388614285714293,1.977248571428572,0.0,0.0,0.0,0.536,0.4889380530973451,0.145515873015873,7.464964285714285,,,,,,,,,,,,
Devin Vassell,SAS,G-F,17.56055850931677,4.440857142857143,2.658857142857143,8.644584029813664,2.1861128571428576,1.3088828571428568,0.0,0.0,0.0,0.603,0.5845410628019324,0.133015873015873,6.823714285714286,,,,,,,,,,,,
Keyonte George,UTA,G,16.591268571428575,3.9882857142857135,5.016,8.16742902857143,1.9633242857142852,2.46924,0.0,0.0,0.0,0.552,0.4776119402985074,0.128015873015873,6.567214285714286,,,,,,,,,,,,
Jalen Johnson,ATL,F,17.340962981366463,9.994285714285716,4.733142857142858,8.536483140372672,4.919914285714287,2.3299971428571435,0.0,0.0,0.0,0.544,0.5070422535211268,0.1467460317460317,7.528071428571428,,,,,,,,,,,,
Nikola Vucevic,CHI,C,17.402798012422362,9.438000000000002,3.9882857142857153,8.566922839751552,4.646070000000002,1.963324285714287,0.0,0.0,0.0,0.611,0.5975,0.1236904761904762,6.34532142857143,,,,,,,,,,,,
CJ McCollum,NOP,G,16.39931925465839,3.894,4.506857142857143,8.072937614906834,1.9169100000000001,2.218602857142857,0.0,0.0,0.0,0.51,0.49375,0.131031746031746,6.721928571428572,,,,,,,,,,,,
Jalen Suggs,ORL,G,14.633405217391305,3.771428571428572,3.498,7.203626295652173,1.856571428571429,1.72197,0.0,0.0,0.0,0.512,0.4695652173913043,0.118531746031746,6.080678571428572,,,,,,,,,,,,
